query,extension,sink_file,sink_line
"Reflected XSS","ecodev_tagpack","/ecodev_tagpack/class.tx_tagpack_ajaxsearch_server.php","414"
"Reflected XSS","ecodev_tagpack","/ecodev_tagpack/mod1/index.php","188"
"Reflected XSS","ehaerer_eh-bootstrap","/ehaerer_eh-bootstrap/Classes/Eid/ExtbaseDispatcher.php","155"
"SQL injection","bvbmedia_multishop","/bvbmedia_multishop/mod1/pages/administration.php","40"
"SQL injection","bvbmedia_multishop","/bvbmedia_multishop/mod1/pages/administration.php","102"
"SQL injection","bvbmedia_multishop","/bvbmedia_multishop/mod1/pages/administration.php","116"
"SQL injection","bvbmedia_multishop","/bvbmedia_multishop/pi1/classes/class.mslib_fe.php","3250"
"SQL injection","bvbmedia_multishop","/bvbmedia_multishop/pi1/classes/class.mslib_fe.php","3255"
"SQL injection","bvbmedia_multishop","/bvbmedia_multishop/pi1/classes/class.mslib_fe.php","3285"
"SQL injection","bvbmedia_multishop","/bvbmedia_multishop/pi1/classes/class.mslib_fe.php","3290"
"SQL injection","bvbmedia_multishop","/bvbmedia_multishop/pi1/classes/class.mslib_fe.php","3490"
"SQL injection","bvbmedia_multishop","/bvbmedia_multishop/pi1/classes/class.mslib_fe.php","3495"
"SQL injection","bvbmedia_multishop","/bvbmedia_multishop/pi1/classes/class.mslib_fe.php","3552"
"SQL injection","bvbmedia_multishop","/bvbmedia_multishop/pi1/classes/class.mslib_fe.php","3557"
"SQL injection","bvbmedia_multishop","/bvbmedia_multishop/pi1/classes/class.mslib_fe.php","9739"
"SQL injection","bvbmedia_multishop","/bvbmedia_multishop/pi1/classes/class.mslib_fe.php","9909"
"SQL injection","bvbmedia_multishop","/bvbmedia_multishop/pi1/classes/class.mslib_fe.php","9964"
"SQL injection","bvbmedia_multishop","/bvbmedia_multishop/pi1/classes/class.mslib_fe.php","9968"
"SQL injection","bvbmedia_multishop","/bvbmedia_multishop/pi1/classes/class.mslib_fe.php","10028"
"SQL injection","bvbmedia_multishop","/bvbmedia_multishop/pi1/classes/class.mslib_fe.php","10035"
"SQL injection","bvbmedia_multishop","/bvbmedia_multishop/pi1/classes/class.mslib_fe.php","10099"
"SQL injection","bvbmedia_multishop","/bvbmedia_multishop/pi1/classes/class.mslib_fe.php","10103"
"SQL injection","bvbmedia_multishop","/bvbmedia_multishop/scripts/admin_pages/admin_import.php","542"
"SQL injection","bvbmedia_multishop","/bvbmedia_multishop/scripts/admin_pages/admin_import.php","552"
"SQL injection","bvbmedia_multishop","/bvbmedia_multishop/scripts/admin_pages/admin_import.php","3772"
"SQL injection","bvbmedia_multishop","/bvbmedia_multishop/scripts/admin_pages/includes/admin_edit_category.php","765"
"SQL injection","bvbmedia_multishop","/bvbmedia_multishop/scripts/admin_pages/includes/admin_edit_cms.php","14"
"SQL injection","bvbmedia_multishop","/bvbmedia_multishop/scripts/admin_pages/includes/admin_edit_manufacturer.php","249"
"SQL injection","bvbmedia_multishop","/bvbmedia_multishop/scripts/admin_pages/includes/admin_edit_manufacturer.php","252"
"SQL injection","bvbmedia_multishop","/bvbmedia_multishop/scripts/admin_pages/includes/admin_edit_module.php","37"
"SQL injection","bvbmedia_multishop","/bvbmedia_multishop/scripts/admin_pages/includes/admin_edit_product.php","2015"
"SQL injection","bvbmedia_multishop","/bvbmedia_multishop/scripts/admin_pages/includes/admin_edit_product.php","2075"
"SQL injection","bvbmedia_multishop","/bvbmedia_multishop/scripts/admin_pages/includes/admin_edit_product.php","2452"
"SQL injection","bvbmedia_multishop","/bvbmedia_multishop/scripts/admin_pages/includes/admin_edit_product.php","2480"
"SQL injection","bvbmedia_multishop","/bvbmedia_multishop/scripts/admin_pages/includes/admin_edit_product.php","2600"
"SQL injection","bvbmedia_multishop","/bvbmedia_multishop/scripts/admin_pages/includes/admin_edit_product.php","2613"
"SQL injection","bvbmedia_multishop","/bvbmedia_multishop/scripts/admin_pages/includes/admin_edit_product.php","2870"
